epoch,g_loss,d_loss,epoch_time_s
1,-1999.317444658861,-871.4630281910663,4616.533525466919
2,-1909.9799903543983,-673.3492910571215,4600.84223985672
3,-1321.9414746732245,-684.7961873310368,4527.736847162247
4,-1509.3513292568487,-451.2653952807915,4635.525945663452
5,-1570.355422647988,-332.13398914802366,4601.673012256622
6,-1594.9681666304425,-388.60192554753,4548.990440130234
7,-1729.6158415224495,-503.0799113948171,4574.41622376442
8,-926.6990749225383,-368.1237056080888,4554.4829025268555
9,-577.4908644989496,-357.90786147699123,4547.928548336029
10,-616.8567622231274,-380.6423171904029,4560.258966207504
11,-209.80873305041615,-323.8311206538503,4555.306085586548
12,-814.9362530286719,-527.7217326280547,4553.224261045456
13,-1392.796622927596,-359.51797355093606,4563.449586629868
14,-404.1971644417542,-379.61063636221536,4587.849910736084
