epoch,g_loss,d_loss,epoch_time_s
1,-1316.1663455755813,-790.6133382009423,697.2360315322876
2,-1306.298003818678,-1052.1150884213655,719.3421292304993
3,-1652.2311374830163,-1124.0023485266645,733.1450326442719
4,-1951.462373153023,-1146.9753524116848,706.2675821781158
5,-1791.5852263077445,-907.4540033755095,734.4322679042816
6,-1281.8151046089504,-606.6300261124321,693.0229823589325
7,-3225.8219524881115,-1276.7532083262568,665.7086405754089
8,-2030.5809697690217,-698.1782724131708,668.789715051651
9,-1899.1950962232506,-445.8882333506709,669.3097751140594
10,-2799.990394923998,-633.143892702849,675.425074338913
11,-3674.938025433084,-689.4485526706861,670.8590908050537
12,-1360.7343814683998,-633.4125134011973,657.8551270961761
13,-1058.4231368355129,-487.4401158871858,659.2874715328217
14,-1590.2239869988482,-564.3129839689835,653.9353566169739
15,-3855.4874320652175,-717.2484741210938,650.5307013988495
16,-1357.797507794007,-717.6120867521867,653.2715756893158
17,-2326.9437653914742,-1404.1416383826215,650.1513183116913
18,-1664.9530361009681,-420.50492792544156,654.8667345046997
19,-3734.1088681428328,-745.5174626889436,655.7859978675842
20,-2797.104059882786,-549.7322653065557,635.6922082901001
21,-282.05789201155955,-1693.7999818221383,635.4383363723755
22,-88.6051715353261,-860.122421928074,637.8561038970947
23,-4357.271313874618,-960.9357604980469,636.7155065536499
24,-3143.0359555120053,-545.3706678307575,648.2738740444183
25,-552.7858864742776,-1325.7177847157354,661.4364583492279
26,-1202.2218216605809,-807.353630065918,638.0589275360107
27,-1161.6130039380944,-314.12444968845534,632.9866440296173
28,-1772.0679294752038,-653.2933250095533,640.3614208698273
29,-1901.5328369140625,-555.6357697196629,665.6298291683197
30,-459.2443542480469,-191.79759481678838,650.7092983722687
31,-1157.17232293668,-456.1899181863536,649.3055987358093
32,-1964.1077243970788,-503.61984783670175,672.6174485683441
33,-1832.2658372961957,-379.0775610882303,687.8295714855194
34,-2279.8821029663086,-651.6139101774796,674.9504315853119
35,-4671.4193752122965,-884.7173170006794,658.7798132896423
36,-805.004780313243,-815.3767673658288,641.3847925662994
37,512.716706317404,-404.82360110075575,658.6686456203461
38,-1274.2948323125424,-478.4701611062755,651.789146900177
39,-2296.2546545940895,-287.1300616057023,637.4201636314392
40,-1870.2803132430367,-386.69973224142325,657.6847486495972
41,-5022.468038807745,-915.1228770380435,651.6818079948425
42,-3807.935000212296,-733.2731800908628,653.2969925403595
43,-327.54433109449303,-675.1029225225034,641.7776384353638
44,-905.4204814745033,-317.84228150740915,650.9903535842896
45,-923.0016771399456,-718.72686634893,646.4205260276794
46,-2125.4683492909307,-1366.8441480553668,642.4547624588013
47,-2375.1657422936482,-396.82741281260616,666.8044922351837
48,-1658.7184500486953,-677.2007897418479,637.6240615844727
49,-1053.3737855994184,-1021.3369405995245,633.7166757583618
50,-1232.1721987516983,-246.97228672193444,638.7209196090698
